Id,ActivityHour,TotalIntensity,AverageIntensity
1503960366,2016-5-7 2:00,2,0.033333
1503960366,2016-5-7 3:00,0,0
1503960366,2016-5-7 4:00,0,0
1503960366,2016-5-7 5:00,0,0
1503960366,2016-5-7 6:00,0,0
1503960366,2016-5-7 7:00,0,0
1503960366,2016-5-7 8:00,9,0.15
1503960366,2016-5-7 9:00,7,0.116667
1503960366,2016-5-7 10:00,46,0.766667
1503960366,2016-5-7 11:00,59,0.983333
1503960366,2016-5-7 12:00,6,0.1
1503960366,2016-5-7 13:00,2,0.033333
1503960366,2016-5-7 14:00,9,0.15
1503960366,2016-5-7 15:00,4,0.066667
1503960366,2016-5-7 16:00,10,0.166667
1503960366,2016-5-7 17:00,6,0.1
1503960366,2016-5-7 18:00,13,0.216667
1503960366,2016-5-7 19:00,21,0.35
1503960366,2016-5-7 20:00,3,0.05
1503960366,2016-5-7 21:00,61,1.016667
1503960366,2016-5-7 22:00,108,1.8
1503960366,2016-5-7 23:00,3,0.05
1503960366,2016-5-8 0:00,8,0.133333
1503960366,2016-5-8 1:00,0,0
1503960366,2016-5-8 2:00,0,0
1503960366,2016-5-8 3:00,0,0
